index,subject,code,desc,context,status,lasttime
1,主机杀毒,A1,使用主机杀毒或杀毒U盘软件完成病毒查杀与日志导出,,,2022-08-05 12:23:23
2,用户帐号与口令安全,A2,操作系统的用户进行身份标识和鉴别,,,2022-08-05 12:23:23
3,用户帐号与口令安全,A3,密码策略设置符合复杂度要求,,,2022-08-05 12:23:23
4,用户帐号与口令安全,A4,启用账户锁定策略,,,2022-08-05 12:23:23
5,用户帐号与口令安全,A5,用户权限设置,,,2022-08-05 12:23:23
6,用户帐号与口令安全,A6,默认账户的权限控制,,,2022-08-05 12:23:23
7,用户帐号与口令安全,A7,删除或禁用多余的、过期的帐户,,,2022-08-05 12:23:23
8,用户帐号与口令安全,A8,应用软件的账户权限设置,,,2022-08-05 12:23:23
9,日志与审核,A9,审核策略,,,2022-08-05 12:23:23
10,日志与审核,A10,设置系统日志,,,2022-08-05 12:23:23
11,服务优化,A11,禁用不必要服务,,,2022-08-05 12:23:23
12,服务优化,A12,加固SNMP服务、配置SNMP TRAP,,,2022-08-05 12:23:23
13,服务优化,A13,文件共享,,,2022-08-05 12:23:23
14,服务优化,A14,关闭默认共享,,,2022-08-05 12:23:23
15,服务优化,A15,禁用匿名远程连接,,,2022-08-05 12:23:23
16,服务优化,A16,启用交互式登录,,,2022-08-05 12:23:23
17,服务优化,A17,关闭Windows自动播放功能,,,2022-08-05 12:23:23
18,服务优化,A18,控制在蓝屏后自动启动机器,,,2022-08-05 12:23:23
19,服务优化,A19,禁止用户开机自动登录,,,2022-08-05 12:23:23
20,服务优化,A20,检测 DDOS攻击保护设置,,,2022-08-05 12:23:23
21,服务优化,A21,检测网络服务挂起时间,,,2022-08-05 12:23:23
22,服务优化,A22,配置登录终端的操作超时锁定,,,2022-08-05 12:23:23
23,服务优化,A23,禁止多余USB接口的使用,,,2022-08-05 12:23:23
24,服务优化,A24,系统时间同步,,,2022-08-05 12:23:23
25,服务优化,A25,禁用可远程访问的注册表路径和子路径,,,2022-08-05 12:23:23
26,关闭高危端口,A26,关闭高危端口,,,2022-08-05 12:23:23
27,软件安装,A27,卸载非法软件,,,2022-08-05 12:23:23
